[17:44:01] UDP debugger initialized OK
[17:47:34] [3.41727399826] Data read
[17:47:34] [3.42860102654] Data read
[17:47:34] [3.44124293327] Data read
[17:47:34] [3.45264315605] Data read
[17:47:34] [3.46505403519] Data read
[17:47:34] [3.47728204727] Data read
[17:47:34] [3.48916006088] Data read
[17:47:34] [3.50080013275] Data read
[17:47:34] [3.51284599304] Data read
[17:47:34] [3.52431607246] Data read
[17:47:34] [3.53689599037] Data read
[17:47:34] [3.55074596405] Data read
[17:47:34] [3.56087708473] Data read
[17:47:34] [3.57221794128] Data read
[17:47:34] [3.58461594582] Data read
[17:47:34] [3.59660100937] Data read
[17:47:34] [3.60849094391] Data read
[17:47:34] [3.62046003342] Data read
[17:47:34] [3.63289809227] Data read
[17:47:35] [3.64422011375] Data read
[17:47:35] [3.65688800812] Data read
[17:47:35] [3.66817593575] Data read
[17:47:35] [3.68042612076] Data read
[17:47:35] [3.69235301018] Data read
[17:47:35] [3.70433497429] Data read
[17:47:35] [3.71628594398] Data read
[17:47:35] [3.72875094414] Data read
[17:47:35] [3.74012494087] Data read
[17:47:35] [3.75266599655] Data read
[17:47:35] [3.76410007477] Data read
[17:47:35] [3.77787995338] Data read
[17:47:35] [3.78797197342] Data read
[17:47:35] [3.80022096634] Data read
[17:47:35] [3.81202507019] Data read
[17:47:35] [3.82443904877] Data read
[17:47:35] [3.83587193489] Data read
[17:47:35] [3.84836506844] Data read
[17:47:35] [3.85966110229] Data read
[17:47:35] [3.87205696106] Data read
[17:47:35] [3.8838300705] Data read
[17:47:35] [3.8964240551] Data read
[17:47:35] [3.90781807899] Data read
[17:47:35] [3.92032814026] Data read
[17:47:35] [3.93156504631] Data read
[17:47:35] [3.94406914711] Data read
[17:47:35] [3.95568299294] Data read
[17:47:35] [3.9680659771] Data read
[17:47:35] [3.97956109047] Data read
[17:47:35] [3.99205303192] Data read
[17:47:35] [4.00339698792] Data read
[17:47:35] [4.01595115662] Data read
[17:47:35] [4.02782797813] Data read
[17:47:35] [4.03975296021] Data read
[17:47:35] [4.05155301094] Data read
[17:47:35] [4.06401395798] Data read
[17:47:35] [4.07540607452] Data read
[17:47:35] Sent heartbeat (3)
[17:47:35] [4.08766913414] Data read
[17:47:35] [4.09922909737] Data read
[17:47:35] [4.11180210114] Data read
[17:47:35] [4.12317013741] Data read
[17:47:35] [4.13577604294] Data read
[17:47:35] [4.14713096619] Data read
[17:47:35] [4.15962910652] Data read
[17:47:35] [4.17154216766] Data read
[17:47:35] [4.18370604515] Data read
[17:47:35] [4.19506716728] Data read
[17:47:35] [4.20770096779] Data read
[17:47:35] [4.21905398369] Data read
[17:47:35] [4.23150706291] Data read
[17:47:35] [4.24339795113] Data read
[17:47:35] [4.25543999672] Data read
[17:47:35] [4.26691699028] Data read
[17:47:35] [4.28075194359] Data read
[17:47:35] [4.29092216492] Data read
[17:47:35] [4.3034119606] Data read
[17:47:35] [4.31542110443] Data read
[17:47:35] [4.32744407654] Data read
[17:47:35] [4.33882594109] Data read
[17:47:35] [4.35133194923] Data read
[17:47:35] [4.36318707466] Data read
[17:47:35] [4.37517595291] Data read
[17:47:35] [4.38701915741] Data read
[17:47:35] [4.39960098267] Data read
[17:47:35] [4.41088414192] Data read
[17:47:35] [4.42338204384] Data read
[17:47:35] [4.4347281456] Data read
[17:47:35] [4.44733905792] Data read
[17:47:35] [4.45862007141] Data read
[17:47:35] [4.47121596336] Data read
[17:47:35] [4.48280906677] Data read
[17:47:35] [4.49541401863] Data read
[17:47:35] [4.50676298141] Data read
[17:47:35] [4.51904916763] Data read
[17:47:35] [4.53091716766] Data read
[17:47:35] [4.54282903671] Data read
[17:47:35] [4.55437207222] Data read
[17:47:35] [4.56702494621] Data read
[17:47:35] [4.5783700943] Data read
[17:47:35] [4.59073805809] Data read
[17:47:35] [4.6026661396] Data read
[17:47:35] [4.61517810822] Data read
[17:47:35] [4.62663316727] Data read
[17:47:35] [4.63863611221] Data read
[17:47:36] [4.65051794052] Data read
[17:47:36] [4.66304016113] Data read
[17:47:36] [4.67445015907] Data read
[17:47:36] [4.68686103821] Data read
[17:47:36] [4.69845104218] Data read
[17:47:36] [4.71086716652] Data read
[17:47:36] [4.72218394279] Data read
[17:47:36] [4.73470807076] Data read
[17:47:36] [4.74606895447] Data read
[17:47:36] [4.75843906403] Data read
[17:47:36] [4.77034211159] Data read
[17:47:36] [4.78309798241] Data read
[17:47:36] [4.79449105263] Data read
[17:47:36] [4.80661797523] Data read
[17:47:36] [4.81799602509] Data read
[17:47:36] [4.83048915863] Data read
[17:47:36] [4.84186816216] Data read
[17:47:36] [4.85438203812] Data read
[17:47:36] [4.86641097069] Data read
[17:47:36] [4.87832403183] Data read
[17:47:36] [4.89008808136] Data read
[17:47:36] [4.90257000923] Data read
[17:47:36] [4.9139649868] Data read
[17:47:36] [4.92660999298] Data read
[17:47:36] [4.93806195259] Data read
[17:47:36] [4.95049309731] Data read
[17:47:36] [4.96187806129] Data read
[17:47:36] [4.97440314293] Data read
[17:47:36] [4.98609399796] Data read
[17:47:36] [4.99817800522] Data read
[17:47:36] [5.00987195969] Data read
[17:47:36] [5.02228999138] Data read
[17:47:36] [5.03681206703] Data read
[17:47:36] [5.05080914497] Data read
[17:47:36] [5.05758500099] Data read
[17:47:36] [5.07012295723] Data read
[17:47:36] Sent heartbeat (3)
[17:47:36] [5.08407497406] Data read
[17:47:36] [5.09427309036] Data read
[17:47:36] [5.10577511787] Data read
[17:47:36] [5.11822795868] Data read
[17:47:36] [5.1295440197] Data read
[17:47:36] [5.14209294319] Data read
[17:47:36] [5.15341997147] Data read
[17:47:36] [5.16590499878] Data read
[17:47:36] [5.17778897285] Data read
[17:47:36] [5.19009494781] Data read
[17:47:36] [5.20143198967] Data read
[17:47:36] [5.21392202377] Data read
[17:47:36] [5.225481987] Data read
[17:47:36] [5.2379989624] Data read
[17:47:36] [5.24925899506] Data read
[17:47:36] [5.26145005226] Data read
[17:47:36] [5.27334594727] Data read
[17:47:36] [5.28553915024] Data read
[17:47:36] [5.29777908325] Data read
[17:47:36] [5.30971097946] Data read
[17:47:36] [5.32107901573] Data read
[17:47:36] [5.33356809616] Data read
[17:47:36] [5.34551405907] Data read
[17:47:36] [5.3574860096] Data read
[17:47:36] [5.36935806274] Data read
[17:47:36] [5.38178706169] Data read
[17:47:36] [5.39288711548] Data read
[17:47:36] [5.40547800064] Data read
[17:47:36] [5.41739416122] Data read
[17:47:36] [5.42964696884] Data read
[17:47:36] [5.4412009716] Data read
[17:47:36] [5.45318198204] Data read
[17:47:36] [5.46512293816] Data read
[17:47:36] [5.47717094421] Data read
[17:47:36] [5.4887881279] Data read
[17:47:36] [5.50132894516] Data read
[17:47:36] [5.51286315918] Data read
[17:47:36] [5.52546095848] Data read
[17:47:36] [5.53683209419] Data read
[17:47:36] [5.54934501648] Data read
[17:47:36] [5.56069207191] Data read
[17:47:36] [5.57320594788] Data read
[17:47:36] [5.5859811306] Data read
[17:47:36] [5.5973379612] Data read
[17:47:36] [5.60856294632] Data read
[17:47:36] [5.62104701996] Data read
[17:47:36] [5.63259506226] Data read
[17:47:37] [5.64505910873] Data read
[17:47:37] [5.65696001053] Data read
[17:47:37] [5.66898202896] Data read
[17:47:37] [5.68084216118] Data read
[17:47:37] [5.6930539608] Data read
[17:47:37] [5.70447301865] Data read
[17:47:37] [5.71703314781] Data read
[17:47:37] [5.72836208344] Data read
[17:47:37] [5.74092006683] Data read
[17:47:37] [5.75221514702] Data read
[17:47:37] [5.76483201981] Data read
[17:47:37] [5.77628016472] Data read
[17:47:37] [5.78895711899] Data read
[17:47:37] [5.80013298988] Data read
[17:47:37] [5.81262016296] Data read
[17:47:37] [5.82450509071] Data read
[17:47:37] [5.83654093742] Data read
[17:47:37] [5.84856510162] Data read
[17:47:37] [5.860435009] Data read
[17:47:37] [5.87241101265] Data read
[17:47:37] [5.88626503944] Data read
[17:47:37] [5.89642095566] Data read
[17:47:37] [5.90862607956] Data read
[17:47:37] [5.91991615295] Data read
[17:47:37] [5.9324259758] Data read
[17:47:37] [5.94433307648] Data read
[17:47:37] [5.95633101463] Data read
[17:47:37] [5.96820807457] Data read
[17:47:37] [5.98064899445] Data read
[17:47:37] [5.99233007431] Data read
[17:47:37] [6.00425195694] Data read
[17:47:37] [6.0158700943] Data read
[17:47:37] [6.028247118] Data read
[17:47:37] [6.04015612602] Data read
[17:47:37] [6.05207204819] Data read
[17:47:37] [6.06394600868] Data read
[17:47:37] [6.07656002045] Data read
[17:47:37] Sent heartbeat (3)
[17:47:37] [6.08835196495] Data read
[17:47:37] [6.10030007362] Data read
[17:47:37] [6.11173605919] Data read
[17:47:37] [6.12425708771] Data read
[17:47:37] [6.13568496704] Data read
[17:47:37] [6.14816999435] Data read
[17:47:37] [6.15957713127] Data read
